task_count,completed_tasks,pending_tasks,team_size,average_completion_time,resource_allocation,historical_delays,blocker_count,predicted_delay_days,risk_level
57,47,10,10,9.2,0.2,3.6,1,2.4,MEDIUM
157,8,149,9,36.8,3.31,1.0,2,19.3,HIGH
137,95,42,6,31.9,1.4,2.6,4,12.0,HIGH
145,115,30,20,6.1,0.3,0.7,1,4.0,MEDIUM
144,12,132,11,6.4,2.4,0.9,2,11.1,HIGH
154,128,26,12,40.0,0.43,2.1,3,10.9,HIGH
137,38,99,26,16.9,0.76,11.1,2,10.2,HIGH
42,27,15,16,32.7,0.19,2.9,3,6.7,MEDIUM
185,142,43,7,25.1,1.23,8.3,2,11.5,HIGH
196,126,70,16,42.3,0.88,9.6,1,9.3,HIGH
124,16,108,6,44.5,3.6,0.7,2,21.2,HIGH
128,75,53,20,47.9,0.53,1.1,5,15.2,HIGH
31,16,15,23,12.5,0.13,4.4,1,3.8,MEDIUM
167,143,24,20,42.2,0.24,6.0,1,8.1,HIGH
47,19,28,11,17.2,0.51,2.2,3,4.9,MEDIUM
118,39,79,13,30.8,1.22,15.0,2,15.3,HIGH
60,43,17,23,27.2,0.15,0.0,2,5.7,MEDIUM
191,80,111,5,6.8,4.44,1.1,1,19.8,HIGH
17,10,7,19,45.2,0.07,2.9,4,10.9,HIGH
36,22,14,17,9.3,0.16,1.9,1,4.0,MEDIUM
36,30,6,9,34.9,0.13,0.4,0,3.7,MEDIUM
30,17,13,5,39.0,0.52,1.4,2,6.7,MEDIUM
39,19,20,26,39.4,0.15,0.1,3,7.8,HIGH
106,18,88,24,11.7,0.73,3.1,2,8.4,HIGH
37,5,32,13,24.8,0.49,6.7,1,7.9,HIGH
120,22,98,3,40.8,6.53,6.5,4,42.5,HIGH
70,14,56,5,18.7,2.24,3.6,2,12.3,HIGH
57,35,22,6,25.6,0.73,1.9,2,4.4,MEDIUM
156,111,45,4,17.5,2.25,2.2,0,10.0,HIGH
13,6,7,10,25.5,0.14,0.4,1,3.0,MEDIUM
44,35,9,22,43.3,0.08,1.3,4,10.2,HIGH
58,54,4,19,25.1,0.04,0.6,1,4.2,MEDIUM
26,20,6,12,29.3,0.1,5.2,5,11.6,HIGH
181,122,59,4,23.0,2.95,7.4,1,14.4,HIGH
167,88,79,26,25.3,0.61,2.3,3,9.0,HIGH
55,24,31,24,6.6,0.26,3.9,3,5.1,MEDIUM
126,15,111,3,17.9,7.4,0.4,4,41.1,HIGH
15,6,9,10,24.3,0.18,2.8,2,6.4,MEDIUM
108,93,15,15,32.6,0.2,3.6,2,7.2,HIGH
133,103,30,5,24.9,1.2,1.8,2,7.6,HIGH
46,11,35,10,20.2,0.7,0.8,2,7.6,HIGH
33,15,18,14,22.3,0.26,6.3,4,12.3,HIGH
102,80,22,19,16.2,0.23,4.1,4,7.5,HIGH
55,6,49,16,44.8,0.61,6.9,3,12.5,HIGH
190,75,115,29,27.9,0.79,5.1,0,5.0,MEDIUM
104,84,20,11,6.6,0.36,13.9,5,14.3,HIGH
108,44,64,17,6.8,0.75,0.6,1,3.4,MEDIUM
197,23,174,13,46.9,2.68,0.3,1,18.0,HIGH
125,67,58,21,15.3,0.55,1.2,1,3.1,MEDIUM
169,139,30,6,39.8,1.0,0.4,5,12.7,HIGH
170,98,72,3,8.4,4.8,2.2,2,24.1,HIGH
76,19,57,11,44.7,1.04,3.0,1,9.9,HIGH
137,54,83,2,42.7,8.3,2.6,0,43.8,HIGH
27,12,15,8,30.0,0.38,0.9,1,5.3,MEDIUM
34,19,15,27,6.4,0.11,7.2,2,6.0,MEDIUM
63,46,17,18,16.8,0.19,0.1,3,6.3,MEDIUM
67,9,58,17,23.1,0.68,1.3,1,4.6,MEDIUM
76,64,12,28,25.3,0.09,3.8,0,1.7,LOW
113,6,107,28,18.5,0.76,4.4,8,16.2,HIGH
183,70,113,25,7.4,0.9,1.6,5,13.3,HIGH
33,2,31,4,30.8,1.55,0.1,2,10.6,HIGH
123,49,74,15,28.0,0.99,2.9,2,7.0,MEDIUM
41,21,20,11,17.9,0.36,0.2,3,8.1,HIGH
184,93,91,23,7.6,0.79,0.3,0,2.1,MEDIUM
95,18,77,8,47.8,1.92,3.2,1,12.7,HIGH
160,100,60,27,26.2,0.44,1.1,3,7.4,HIGH
136,12,124,18,37.8,1.38,1.3,0,7.0,MEDIUM
164,120,44,7,25.0,1.26,2.0,4,12.7,HIGH
139,125,14,24,7.8,0.12,11.5,2,8.3,HIGH
26,9,17,23,19.0,0.15,10.1,3,10.0,HIGH
113,58,55,5,19.4,2.2,1.6,2,12.9,HIGH
170,66,104,18,41.2,1.16,0.9,0,6.3,MEDIUM
146,8,138,28,33.5,0.99,1.1,3,10.4,HIGH
52,20,32,10,17.6,0.64,0.9,3,7.4,HIGH
185,141,44,5,46.6,1.76,2.3,3,15.2,HIGH
48,28,20,8,19.5,0.5,2.8,2,6.6,MEDIUM
179,25,154,24,47.9,1.28,2.0,3,12.4,HIGH
35,28,7,3,47.8,0.47,1.6,3,12.4,HIGH
108,57,51,18,14.0,0.57,0.7,3,5.7,MEDIUM
59,47,12,25,19.1,0.1,2.0,4,8.4,HIGH
162,92,70,9,26.4,1.56,1.3,1,7.6,HIGH
161,89,72,24,33.9,0.6,2.3,0,4.1,MEDIUM
22,3,19,16,28.2,0.24,3.4,3,10.5,HIGH
69,13,56,16,46.7,0.7,3.0,4,15.8,HIGH
144,133,11,9,36.4,0.24,1.9,3,8.1,HIGH
66,16,50,17,14.9,0.59,2.4,2,6.4,MEDIUM
45,41,4,20,10.4,0.04,1.0,2,3.5,MEDIUM
182,96,86,12,34.9,1.43,0.1,2,8.5,HIGH
29,4,25,3,12.7,1.67,2.9,2,9.1,HIGH
74,10,64,24,39.1,0.53,0.9,1,7.6,HIGH
17,4,13,25,19.1,0.1,3.3,1,3.8,MEDIUM
153,135,18,18,19.7,0.2,4.1,1,3.8,MEDIUM
151,63,88,29,6.5,0.61,7.4,2,9.1,HIGH
124,50,74,27,35.4,0.55,9.5,3,14.4,HIGH
152,50,102,17,10.8,1.2,0.0,3,6.7,MEDIUM
101,18,83,26,38.5,0.64,13.9,2,13.7,HIGH
107,52,55,16,26.7,0.69,3.4,1,4.2,MEDIUM
75,12,63,14,38.9,0.9,3.1,1,9.3,HIGH
41,32,9,16,30.5,0.11,0.0,3,8.8,HIGH
95,36,59,28,9.5,0.42,5.9,3,8.6,HIGH
60,23,37,5,38.2,1.48,0.5,3,10.4,HIGH
162,77,85,17,8.9,1.0,5.4,1,7.9,HIGH
195,87,108,13,26.1,1.66,0.0,5,16.2,HIGH
72,68,4,5,13.2,0.16,3.1,5,9.1,HIGH
199,107,92,4,37.6,4.6,1.7,1,25.7,HIGH
134,17,117,23,44.3,1.02,0.7,1,9.4,HIGH
159,94,65,18,29.3,0.72,0.3,3,9.5,HIGH
67,12,55,23,28.1,0.48,1.7,2,6.8,MEDIUM
67,5,62,19,38.1,0.65,0.4,2,10.3,HIGH
95,87,8,26,6.2,0.06,2.0,5,7.1,HIGH
58,43,15,19,44.5,0.16,2.9,4,10.3,HIGH
189,176,13,24,14.3,0.11,5.3,1,3.9,MEDIUM
179,85,94,29,47.3,0.65,3.4,2,12.8,HIGH
79,41,38,18,36.9,0.42,0.2,3,10.4,HIGH
24,4,20,13,38.5,0.31,1.1,1,4.3,MEDIUM
63,17,46,24,33.6,0.38,1.0,3,12.1,HIGH
197,158,39,22,25.8,0.35,7.4,1,7.5,HIGH
110,40,70,25,30.0,0.56,6.1,2,7.6,HIGH
17,13,4,5,7.9,0.16,1.4,1,2.4,MEDIUM
62,42,20,13,32.2,0.31,0.2,3,9.2,HIGH
69,14,55,27,32.3,0.41,6.7,4,13.9,HIGH
117,59,58,24,43.4,0.48,6.6,8,20.6,HIGH
14,9,5,23,27.2,0.04,5.8,3,9.5,HIGH
112,29,83,22,9.2,0.75,5.6,2,7.0,MEDIUM
15,11,4,21,18.9,0.04,2.0,3,6.0,MEDIUM
118,63,55,16,33.5,0.69,0.6,3,10.1,HIGH
125,24,101,24,16.0,0.84,1.9,2,7.6,HIGH
103,59,44,29,17.8,0.3,2.0,4,6.8,MEDIUM
